qid,question_text
"Q155","Does the company have a unit / division / committee who is specifically responsible to manage the sustainability matters?"
"Q156","Does the company disclose board of directors/commissioners' oversight of sustainability-related risks and opportunities?"
"Q157","Does the company disclose the linkage between executive directors and senior management remuneration and sustainability performance for the previous year?"
"Q158","Is the company’s Whistle Blowing System managed by independent parties / institutions?"
"Q159","Are the audited annual financial report /statement released within 60 days from the financial year end?"
"Q160","Does the company have at least one female independent director/commissioner?"
"Q161","Does the company have a policy and disclose measurable objectives for implementing its board diversity and report on progress in achieving its objectives?"
"Q162","Is the Nominating Committee comprise entirely of independent directors/commissioners?"
"Q163","Does the Nominating Committee undertake the process of identifying the quality of directors aligned with the company's strategic directions?"
"Q164","Does the company use professional search firms or other external sources of candidates (such as director databases set up by director or shareholder bodies) when searching for candidates to the board of directors/commissioners?"
"Q165","Do independent non-executive directors/commissioners make up more than 50% of the board of directors/commissioners for a company with independent chairman?"
"Q166","Does the company disclose that its Board identified �key risk in relation to information technology including disruption, cyber security, and disaster recovery, to ensure that such risks are managed and integrated into the overall risk management framework?"
"Q167","Does the company have a separate board level Risk Committee? "
"Q168","Did the company fail or neglect to offer equal treatment for share repurchases to all shareholders?"
"Q169","Is there evidence of barriers that prevent shareholders from communicating or consulting with other shareholders?"
"Q170","Did the company include any additional and unannounced agenda item into the notice of AGM/EGM?"
"Q171","Was the Chairman of the Board and the Chairmen of all Board Committees and the CEO absent from the most recent General Meeting?"
"Q172","Did the company fail to disclose the existence of shareholders agreement?"
"Q173","Did the company fail to disclose the existence of voting cap?"
"Q174","Did the company fail to disclose the existence of multiple voting rights?"
"Q175","Is a pyramid ownership structure and/ or cross holding structure apparent?"
"Q176","Has there been any conviction of insider trading involving directors/commissioners, management and employees in the past three years?"
"Q177","Has there been any cases of non compliance with the laws, rules and regulations pertaining to material related party transactions in the past three years?"
"Q178","Were there any RPTs that can be classified as financial assistance (i.e not conducted at arms length) to entities other than wholly-owned subsidiary companies?"
"Q179","Have there been any violations of any laws pertaining to labour/employment/ consumer/insolvency/ commercial/competition or environmental issues?"
"Q180","Has the company faced any sanctions by regulators for failure to make announcements within the requisite time period for material events?"
"Q181","Is there any evidence that the company is engaging in greenwashing activities?"
"Q182","Did the company receive a ""qualified opinion"" in its external audit report?"
"Q183","Did the company receive an ""adverse opinion"" in its external audit report?"
"Q184","Did the company receive a ""disclaimer opinion"" in its external audit report?"
"Q185","Has the company in the past year revised its financial statements for reasons other than changes in accounting policies?"
"Q186","Is there any evidence that the company has not complied with any listing rules and regulations apart from disclosure rules over the past year?"
"Q187","Have there been any instances where non-executive directors/commissioner have resigned and raised any issues of governance-related concerns?"
"Q188","Does the Company have any independent directors/commissioners who have served for more than nine years or two terms of five years (The five years term must be required by legislation which pre-existed before the introduction of the ASEAN Corporate Governance Scorecard in 2011) each (which ever is higher) in the same capacity?"
"Q189","Did the company fail to correctly identify the description of all their directors as independent, non-executive, and executive?"
"Q190","Does the company have any independent directors/non-executive/commissioners who serve on a total of more than five boards of publicly-listed companies?"
"Q191","Is any of the directors or senior management a former employee or partner of the current external auditor (in the past 2 years)?"
"Q192","Has the chairman been the company CEO in the last three years? "
"Q193","Do non-executive directors/commissioners receive options, performance shares or bonuses?"
